Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11",0402,2,15p,C1548
"C200, C201, C202, C203, C204, C205, C206, C207, C208, C40, C50, C51, C60, C81, C82",0402,15,100n,C307331
"C209, C210, C84",0402,3,1u,C52923
C30,1206,1,100u,C15008
C35,0402,1,0.01u,C15195
"C63, C65",0603,2,10uF/25v,C96446
C64,0402,1,2.2u,C12530
C700,0402,1,10u,C96446
"C74, C75, C76",0402,3,10uF,C96446
"C77, C78, C79",0402,3,22u,C96446
"C85, C86",0402,2,22p,C1555
D88,0603,1,LED,C2286
J1,BUS_PCIexpress_x1,1,Bus_PCI_Express_x1,n/a
J2,HRO_TYPE-C-31-M-04,1,TYPE-C-31-M-04,C129018
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,n/a
L66,0603,1,2.2u,
L70,0603,1,1.5u,
"R12, R30",0402,2,1k,C11702
"R211, R212",0402,2,4.7k,C25900
"R213, R214",0603,2,27,C25190
"R31, R33",0603,2,23.7k,
"R32, R34",0603,2,5k,
R36,0603,1,51.1k,C23072
R61,0402,1,100k,C25741
R62,0603,1,22.1k,C25961
R71,0402,1,10k,
R72,0402,1,100k,
"R83, R87",0402,2,10k,C25744
R89,0603,1,150,C22808
U1,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,C191253
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,IC_TPS2121RUXR,1,TPS2121RUXR,C485916
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U5,PQFN50P200X200X80-10N,1,BMP388,C779278
U6,SOT-23-6,1,LMR51430 1.1k FPWM,C5219261
U7,VREG_TPS63070RNMR,1,TPS63070RNMR,
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
Y1,XTAL_ABS07-32.768KHZ-T,1,ABS07-32.768KHZ-T,C130253
